Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.40,5640,151,2645.73,5120,0,0.00,0,0.89,1.35,1.80,0.00
1.00,2.00,0.80,0.30,5640,79,2060.50,5493,0,0.00,0,0.79,1.35,1.93,0.00
1.00,2.00,0.80,0.60,5640,244,2681.37,5535,0,0.00,0,0.90,1.36,1.71,0.00
1.00,2.00,0.80,1.00,5640,288,2407.40,5350,0,0.00,0,0.91,1.38,1.83,0.00
1.00,2.00,0.80,0.80,5640,157,2473.63,5282,0,0.00,0,0.75,1.39,1.88,0.00
1.00,2.00,0.80,0.50,5640,66,2494.60,5196,0,0.00,0,0.90,1.39,1.82,0.00
1.00,2.00,0.80,0.70,5640,715,2580.63,5057,0,0.00,0,0.94,1.40,1.90,0.00
1.00,2.00,0.80,0.20,5640,769,3015.80,5602,0,0.00,0,0.79,1.42,1.97,0.00
1.00,2.00,0.80,0.10,5640,249,2865.43,5413,0,0.00,0,1.11,1.43,2.05,0.00
1.00,2.00,0.80,0.90,5640,276,2245.07,5381,0,0.00,0,0.98,1.47,2.10,0.00
